R,G,B,SPAD,Nitorgen,Category,Normalized R,Normalized G,Normalized B,SR B/R,NDVI (cam),Excess NIRB
151.168458,181.31795053,208.80163805,60.4408600078318,3.28170429425767,Normal,0.27927544115397,0.334974976217588,0.385749582628443,57.63318005,0.160105466210712,85.11686757
152.89680529,184.09988128,212.10911282,63.6744385080152,3.3880890269137,High,0.278446895771002,0.335272148799951,0.386280955429047,59.21230753,0.162222869800581,87.22153907
147.58518906,178.28250101,206.63454107,62.834644196416,3.36045979406209,High,0.277154123362158,0.334801416002195,0.388044460635647,59.04935201,0.1667026057197,87.40139207
133.27359462,162.80104143,187.46362822,58.4194990864722,3.21520151994494,Normal,0.27562160943189,0.336686987276553,0.387691403291557,54.1900336,0.168954613749439,78.85262039
149.34456133,178.85450806,205.28528559,58.2113027787139,3.20835186141969,Normal,0.27994178261441,0.335257269290878,0.384800948094712,55.94072426,0.157743982199613,82.37150179
145.89958401,178.0454951,208.24187812,62.5109649436187,3.34981074664506,High,0.274150995299468,0.334554413033186,0.391294591667346,62.34229411,0.176037828880695,92.53867713
140.7739183,174.37410905,209.86191891,68.9398332590346,3.56132051422224,High,0.2681357168618,0.332134867714763,0.399729415423437,69.08800061,0.197036335931123,104.57581047
148.64798672,181.47293239,213.69115816,63.4140883942827,3.3795235081719,High,0.273344401371573,0.333705226447002,0.392950372181424,65.04317144,0.179509093508351,97.26139721
129.49034027,158.9616444,186.77909122,62.7310018294197,3.35704996018791,High,0.272478688451705,0.334493370624598,0.393027940923697,57.28875095,0.181139070823578,85.10619777
146.43859933,174.49140755,198.55917674,58.2013785162316,3.20802535318402,Normal,0.281889602223399,0.335890357397005,0.382220040379597,52.12057741,0.151075111276731,76.1883466
144.06457243,174.4732529,201.41127551,62.7653255714744,3.35817921130151,High,0.277074375544178,0.335558331802346,0.387367292653476,57.34670308,0.16599337818243,84.28472569
142.76275513,174.83820559,205.53705695,63.8298943451089,3.39320352395408,High,0.272896922624454,0.334210475408976,0.39289260196657,62.77430182,0.180230650843939,93.47315318
137.05712533,168.12773504,198.44363794,59.9573946246704,3.26579828315166,Normal,0.272139336415464,0.333832846243168,0.394027817341368,61.38651261,0.182969815065959,91.70241551
137.93709599,168.62199671,195.28409907,63.2043091359143,3.37262177057158,High,0.274860949101444,0.336005348832711,0.389133702065845,57.34700308,0.172098905862438,84.00910544
158.68639093,187.1408205,210.96360404,58.1175544687295,3.2052675420212,Normal,0.285001811310499,0.336106155670025,0.378892033019476,52.27721311,0.141423546114867,76.09999665
154.24919738,183.44417325,209.14863977,55.9262657291418,3.13317414248877,Normal,0.282072690917018,0.335461010239165,0.382466298843817,54.89944239,0.151072562293042,80.60390891
146.88992377,178.45537881,207.66092306,64.6376817419073,3.41977972930875,High,0.275587632383888,0.334809182755271,0.389603184860841,60.77099929,0.171402775746686,89.97654354
149.6241581,180.68113834,208.63560474,64.5675377717242,3.41747199268973,High,0.277626281049371,0.335252228851814,0.387121490098815,59.01144664,0.164716925429202,86.96591304
132.40740457,163.40452054,192.12892841,64.2672659322407,3.40759304917072,High,0.271359537974356,0.334885917752534,0.39375454427311,59.72152384,0.184021071821504,88.44593171
158.2667019,186.51612619,210.47330338,59.4918298676736,3.25048120264646,Normal,0.28503368613148,0.335910070360164,0.379056243508356,52.20660148,0.141581061811716,76.16377867
